Public,startDate,endDate,eventName,location,url,tag
TRUE,7月10日(金),7月11日(土),Scrum Fest Sendai 2026,宮城（仙台）,https://www.scrumfestsendai.org/,
TRUE,7月10日(金),7月11日(土),SRE NEXT 2026,東京（有明）,https://sre-next.dev/2026/,
TRUE,7月11日(土),7月12日(日),関数型まつり 2026,東京（中野）,https://2026.fp-matsuri.org/,
TRUE,7月11日(土),7月11日(土),オープンソースカンファレンス2026 Shimane,島根（松江）,,
FALSE,7月15日(水),7月17日(金),JANOG 58,愛媛（松山）,https://www.janog.gr.jp/meetings/,
TRUE,7月18日(土),7月18日(土),関西Ruby会議09,滋賀（大津）,https://regional.rubykaigi.org/kansai09/,
TRUE,7月22日(水),7月24日(金),CEDEC2026,神奈川（横浜）,https://cedec.cesa.or.jp/2026/,
TRUE,7月25日(土),7月25日(土),大吉祥寺.pm 2026,東京（大井町）,,
TRUE,7月29日(水),7月30日(木),KubeCon + CloudNativeCon Japan 2026,神奈川（横浜）,https://events.linuxfoundation.org/kubecon-cloudnativecon-japan/,
TRUE,7月31日(金),8月1日(土),Scrum Fest Osaka 2026,大阪（梅田）,https://www.scrumosaka.org/,
TRUE,9月5日(土),9月5日(土),Product Engineering Conference 2026,東京（中野）,https://product-engineering.jp/2026/,
TRUE,9月5日(土),9月5日(土),アクセシビリティカンファレンスCHIBA2026,千葉（幕張）,https://a11y-chiba.connpass.com/event/389386/,
TRUE,9月8日(火),9月8日(火),時雨堂 雑談会 (2026-09),オンライン,https://gist.github.com/voluntas/8ced7231586f1aef924a47bc4356f733,
TRUE,9月11日(金),9月11日(金),Go Conference 2026,東京（中野）,https://gocon.jp/2026/,
TRUE,9月12日(土),9月12日(土),フロントエンドカンファレンス福岡 2026,福岡（福岡）,https://frontend-conf.fukuoka.jp/2026/news/2026-01-13-announcement,
TRUE,9月12日(土),9月12日(土),オープンソースカンファレンス2026 Hiroshima,広島（広島）,https://event.ospn.jp/osc2026-hiroshima/,
TRUE,9月12日(土),9月12日(土),オープンセミナー2026@岡山,岡山（岡山）,https://okayama.open-seminar.org/,
TRUE,9月13日(日),9月13日(日),第十四回 技術書同人誌博覧会,東京（蒲田）,https://gishohaku.dev/,
TRUE,9月19日(土),9月19日(土),名古屋Ruby会議05,愛知（名古屋）,https://regional.rubykaigi.org/nagoya05/,
TRUE,9月23日(水),9月23日(水),TOKYO KEYBOARD EXPO 2026,東京（平和島）,https://tkx.yushakobo.jp/tkx2026/,
TRUE,9月26日(土),9月26日(土),Scrum Fest Kanagawa 2026  -夏の陣-,神奈川（海老名）,https://www.scrumfestkanagawa.org/,
TRUE,10月2日(金),10月3日(土),オープンソースカンファレンス2026 Online/Fall,オンライン,https://event.ospn.jp/osc2026-online-fall/,
TRUE,10月3日(土),10月3日(土),PHPカンファレンス愛媛 2026,愛媛（松山）,https://phpcon.ehime.jp/,
TRUE,10月3日(土),10月3日(土),freee 技術の日 2026,東京（大崎）,https://freee.connpass.com/event/403447/,
TRUE,10月3日(土),10月4日(日),NT東京 2026,東京（千代田区）,https://nt-tokyo.org/,
TRUE,10月11日(日),10月11日(日),Hono Conference in Tokyo 2026,東京（紀尾井町）,https://honoconf.dev/2026,
TRUE,10月12日(月),10月12日(月),フロントエンドカンファレンス関西 2026,大阪（梅田）,https://2026.frontend-conf.osaka.jp/,
TRUE,10月12日(月),10月12日(月),Hackers Champloo 2026,沖縄（浦添）,https://hackers-champloo.org/2026/,
TRUE,10月15日(木),10月15日(木),ViteConf,オンライン,https://viteconf.org/,
TRUE,10月16日(金),10月17日(土),Kaigi on Rails 2026,東京（渋谷）,https://kaigionrails.org/2026/,
TRUE,10月17日(土),10月17日(土),オープンソースカンファレンス2026 Tokyo/Fall,東京（浅草）,https://event.ospn.jp/osc2026-fall/,
TRUE,10月17日(土),10月17日(土),[JAWS-UG 青森] 勉強会,青森（八戸）,https://jaws-tohoku.connpass.com/event/388199/,
TRUE,10月23日(金),10月24日(土),スクラム祭り2026,各地＋オンライン,https://www.scrummatsuri.org/,
TRUE,10月26日(月),10月26日(月),MPLS Japan 2026,東京（本郷）,https://mpls.jp/2026/index.html,
TRUE,10月27日(火),10月28日(水),KDDI SUMMIT 2026,東京（高輪ゲートウェイ）,https://www.kddi.com/summit/,
TRUE,10月29日(木),10月30日(金),TiDB User Day,東京（大手町）,https://pingcap.co.jp/tidb-user-day/,
TRUE,10月29日(木),10月29日(木),Search Engineering Tech Talk 2026 Autumn,東京（三田）,https://search-tech.connpass.com/event/404880/,
TRUE,10月31日(土),10月31日(土),KomeKaigi 2026,新潟（新潟）,https://komekaigi.dev/,
TRUE,11月1日(日),11月1日(日),DojoCon Japan 2026,岩手（盛岡）,https://dojocon2026.coderdojo.jp/,
TRUE,11月5日(木),11月6日(金),db tech showcase 2026,東京（大手町）,https://www.db-tech-showcase.com/2026/,
TRUE,11月13日(金),11月14日(土),スクラムフェス札幌,北海道（札幌）,https://www.scrumfestsapporo.org/,
TRUE,11月14日(土),11月14日(土),PHPカンファレンス新潟2026,新潟（新潟）,https://x.com/phpcon_niigata/status/2010182191016517632,
FALSE,11月18日(水),11月19日(木),CloudNative Days Winter 2026,東京（有明）,,
TRUE,11月21日(土),11月21日(土),オープンソースカンファレンス2026 Nagaoka,新潟（長岡）,https://ospn.connpass.com/event/398562/,
TRUE,11月21日(土),11月21日(土),TeXConf 2026,東京（竹橋）,https://texconf.github.io/2026/,
TRUE,11月21日(土),11月21日(土),アクセシビリティカンファレンス福岡2026,福岡（福岡）,https://fukuoka-a11yconf.connpass.com/event/404619/,
TRUE,11月22日(日),11月22日(日),オープンソースカンファレンス2026 Yamaguchi,山口（宇部）,https://ospn.connpass.com/event/398565/,
TRUE,11月23日(月),11月23日(月),技術書典21 オフライン開催,東京（池袋）,https://techbookfest.org/event/tbf21,
TRUE,11月27日(金),11月28日(土),BTCONJP 2026,東京（紀尾井町）,https://btcon.jp/,
TRUE,11月27日(金),11月29日(日),YAPC::Tokyo 2026,東京（有明）,https://yapcjapan.org/2026tokyo/,
TRUE,11月28日(土),11月28日(土),Backlog world 2026,神奈川（横浜）,https://jbuginfo.backlog.com/backlogworld2026/,
TRUE,12月3日(木),12月4日(金),RubyWorld Conference 2026,島根（松江）,https://2026.rubyworld-conf.org/ja/,
TRUE,12月3日(木),12月3日(木),Product Security Square #6,東京（渋谷）,https://flatt.connpass.com/event/404926/,
FALSE,12月5日(土),12月5日(土),オープンソースカンファレンス2026 Okinawa,沖縄（那覇）,,
FALSE,12月5日(土),12月5日(土),オープンソースカンファレンス2026 Okinawa,沖縄,,
TRUE,12月12日(土),12月12日(土),オープンソースカンファレンス2026 Fukuoka,福岡（福岡）,https://event.ospn.jp/osc2026-fukuoka/,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
FALSE,,,,,,
